,loss,box_loss,classification_loss,percent_boxes_matched_with_anchor,val_loss,val_box_loss,val_classification_loss,val_percent_boxes_matched_with_anchor,val_AP,val_AP50,val_AP75,val_APs,val_APm,val_APl,val_ARmax1,val_ARmax10,val_ARmax100,val_ARs,val_ARm,val_ARl
0,0.7379357814788818,0.33708009123802185,0.4008558690547943,0.9659753441810608,772.2562866210938,0.6138865351676941,771.6424560546875,0.9650248289108276,0.0026228686,0.0081500625,0.0012376697,0.0002893379,0.008386418,0.005744327,0.10069572,0.10845343,0.11085727,0.010620241,0.18191148,0.3154412
1,0.4598529636859894,0.22026513516902924,0.2395876944065094,0.966087818145752,71.47213745117188,0.41382014751434326,71.05831909179688,0.9649213552474976,0.021181397,0.06670148,0.0059929206,0.0058889994,0.053938687,0.013689813,0.16911308,0.19219376,0.20851073,0.02889766,0.17460476,0.4515625
2,0.39482581615448,0.1926235556602478,0.20220279693603516,0.9660732746124268,1.099008321762085,0.22300636768341064,0.8760020136833191,0.9649213552474976,0.11494946,0.25709087,0.07062671,0.04678398,0.15817837,0.24242903,0.30518717,0.3277074,0.32926992,0.079006106,0.33766583,0.55260414
3,0.3548848628997803,0.17770607769489288,0.17717894911766052,0.965968132019043,1.3464716672897339,0.20462532341480255,1.1418464183807373,0.9648696184158325,0.11401148,0.3065926,0.037197378,0.104473434,0.17148697,0.17455405,0.32332507,0.34284812,0.3473218,0.10824751,0.3427194,0.46087718
4,0.33495402336120605,0.16811895370483398,0.16683481633663177,0.9661240577697754,14.168656349182129,0.3853503167629242,13.783307075500488,0.9648696184158325,0.060486753,0.13798127,0.027722262,0.09818618,0.18201804,0.0036042812,0.2583474,0.2847087,0.31374738,0.11312331,0.35062242,0.47916666
5,0.30747005343437195,0.15783415734767914,0.14963585138320923,0.9660080075263977,1.3372719287872314,0.20784690976142883,1.1294246912002563,0.9648696184158325,0.11686759,0.25306422,0.06866168,0.12490764,0.19961584,0.059719108,0.33298585,0.36928648,0.37008435,0.14533333,0.37802958,0.5760638
6,0.30320221185684204,0.15545815229415894,0.1477440893650055,0.9660805463790894,0.9796040654182434,0.1833517998456955,0.7962521910667419,0.9649213552474976,0.24768932,0.47071752,0.19481352,0.12527214,0.22630768,0.336872,0.37825865,0.39473882,0.39473882,0.14095369,0.39754704,0.5473958
7,0.290533185005188,0.1530867964029312,0.13744671642780304,0.9661639928817749,0.5831476449966431,0.1754554808139801,0.4076921045780182,0.9648696184158325,0.3031182,0.62074,0.22479557,0.123504706,0.26448274,0.47720745,0.38075665,0.3860304,0.3860304,0.13524881,0.39601967,0.5129824
8,0.2808842360973358,0.14867664873600006,0.13220766186714172,0.9659826159477234,0.46771928668022156,0.16214261949062347,0.305576890707016,0.9650248289108276,0.37525722,0.7471863,0.27008253,0.17094606,0.33911085,0.62384975,0.43204516,0.43335113,0.43335113,0.1771094,0.41006625,0.6592105
9,0.26637905836105347,0.14415152370929718,0.12222756445407867,0.965989887714386,0.455095112323761,0.14673635363578796,0.3083586096763611,0.9648696184158325,0.39682359,0.74140203,0.32127175,0.1637919,0.42523336,0.55057085,0.4534209,0.45549157,0.45549157,0.18293618,0.5018648,0.5885417
10,0.26291003823280334,0.1412123739719391,0.12169741094112396,0.9660732746124268,0.652525007724762,0.15671244263648987,0.49581268429756165,0.9649213552474976,0.36805028,0.70301545,0.29584312,0.15403932,0.3844838,0.5008774,0.42260948,0.42537355,0.42537355,0.16696967,0.4613916,0.5480702
11,0.2646492123603821,0.1431504338979721,0.12149861454963684,0.966033399105072,1.0195313692092896,0.15152108669281006,0.8680102825164795,0.9648696184158325,0.20905976,0.37172827,0.19627048,0.10864747,0.22035593,0.29732108,0.40640962,0.40838614,0.40950346,0.1458212,0.43796825,0.6140625
12,0.25397804379463196,0.13791479170322418,0.1160629391670227,0.965935468673706,0.5642076134681702,0.12348305433988571,0.4407244920730591,0.9649213552474976,0.43876255,0.69160813,0.48746392,0.18703583,0.47374025,0.6222609,0.48519745,0.48696738,0.48696738,0.21442285,0.5293374,0.6565603
13,0.24792936444282532,0.135832279920578,0.11209741234779358,0.9661386013031006,0.5002506375312805,0.1401122361421585,0.3601383566856384,0.9648696184158325,0.4191049,0.7201854,0.40195724,0.15533559,0.44323853,0.637082,0.46513143,0.46807095,0.46807095,0.17288476,0.5047903,0.67801416
14,0.2392110526561737,0.13269229233264923,0.10651876032352448,0.9661023020744324,0.42972004413604736,0.13157771527767181,0.2981424033641815,0.9648696184158325,0.45524105,0.7550808,0.45566505,0.25359413,0.45647237,0.58702946,0.5049942,0.5087732,0.5087732,0.2897516,0.5150357,0.61935484
15,0.24353662133216858,0.13283009827136993,0.11070644855499268,0.9659535884857178,0.7464706301689148,0.1570071130990982,0.5894635319709778,0.9648696184158325,0.35141987,0.681376,0.25790262,0.13349861,0.33153838,0.51780945,0.40966022,0.41249043,0.41249043,0.15525481,0.40471485,0.5890625
16,0.23376652598381042,0.1293565034866333,0.10440977662801743,0.9660152792930603,0.4795914590358734,0.1558804214000702,0.3237113058567047,0.9648696184158325,0.39854324,0.7519009,0.35040054,0.22903703,0.43166253,0.5602923,0.46514276,0.46970528,0.46970528,0.25173143,0.5096568,0.60364586
17,0.23394033312797546,0.1273738443851471,0.10656643658876419,0.9661784768104553,0.40742841362953186,0.1745309680700302,0.23289744555950165,0.9648696184158325,0.36027268,0.7776014,0.2569766,0.15621887,0.3453913,0.57248914,0.4185838,0.42296317,0.42296317,0.1694586,0.4363244,0.6057895
18,0.22607669234275818,0.12586036324501038,0.10021643340587616,0.966109573841095,0.35297349095344543,0.164320707321167,0.18865272402763367,0.9648696184158325,0.3813351,0.7745178,0.2681614,0.21519524,0.36069897,0.48208642,0.44098103,0.44281927,0.44281927,0.24066246,0.43297106,0.53754383
19,0.22239479422569275,0.12481148540973663,0.09758332371711731,0.9659935235977173,0.41758060455322266,0.1572633534669876,0.2603171467781067,0.9649213552474976,0.39444768,0.75324076,0.30576915,0.19905575,0.3840051,0.5833173,0.45420957,0.45733428,0.45733428,0.2203924,0.44884527,0.63125
20,0.22647814452648163,0.12483787536621094,0.10164020955562592,0.9660443067550659,0.3346290588378906,0.1200476735830307,0.21458140015602112,0.9648696184158325,0.4690499,0.78169656,0.47046417,0.24561536,0.4928831,0.66358864,0.51994497,0.5238459,0.5238459,0.2772014,0.55903107,0.69578946
21,0.21597668528556824,0.12183729559183121,0.09413909167051315,0.9659644961357117,0.7257596254348755,0.16465623676776886,0.5611035227775574,0.9648696184158325,0.36744133,0.7186677,0.28840232,0.18194547,0.40342554,0.4780389,0.4236939,0.4266083,0.4266083,0.19858697,0.46596035,0.5296875
22,0.22071771323680878,0.12436208873987198,0.09635519981384277,0.9660515189170837,0.39478421211242676,0.16337300837039948,0.2314111888408661,0.9648696184158325,0.39244655,0.7506686,0.31764194,0.17054994,0.3512543,0.6397686,0.44280496,0.44642672,0.44642672,0.18707015,0.42535943,0.67552084
23,0.21441560983657837,0.12112946808338165,0.09328581392765045,0.9661639928817749,0.5022426843643188,0.17056353390216827,0.33167922496795654,0.9649213552474976,0.36603284,0.758747,0.25722486,0.1965367,0.3286883,0.51460487,0.4283288,0.4319885,0.4319885,0.22001879,0.41418076,0.5734375
24,0.21228712797164917,0.12046204507350922,0.09182519465684891,0.9660696387290955,0.8105041980743408,0.15413326025009155,0.6563712358474731,0.9648696184158325,0.38278052,0.73078173,0.30530447,0.22437125,0.37518916,0.5452909,0.43823388,0.44176096,0.44176096,0.25404826,0.44737956,0.58070177
25,0.2135322093963623,0.11901470273733139,0.09451764076948166,0.9661276936531067,0.5957599878311157,0.13275106251239777,0.4630087912082672,0.9649213552474976,0.39860398,0.6852369,0.3737942,0.18021819,0.40208933,0.63607657,0.45022774,0.45565766,0.45565766,0.20427601,0.46310094,0.68072915
26,0.20795290172100067,0.11708689481019974,0.0908661037683487,0.965935468673706,0.7860838174819946,0.15208984911441803,0.6339936852455139,0.9648696184158325,0.4205875,0.70368856,0.41426638,0.2160123,0.45919323,0.5724983,0.47925943,0.48503554,0.48503554,0.23414919,0.5239329,0.6164912
27,0.20825287699699402,0.11966320872306824,0.08858983218669891,0.966011643409729,0.4480765759944916,0.1425379514694214,0.3055385947227478,0.9648696184158325,0.42880338,0.777936,0.35226247,0.2580005,0.41585886,0.5804347,0.48786575,0.49285582,0.49285582,0.27651244,0.4880796,0.6431579
28,0.2020752876996994,0.11487239599227905,0.08720295131206512,0.9660443067550659,0.4122927188873291,0.15356896817684174,0.2587236762046814,0.9649213552474976,0.42098415,0.7942224,0.31856507,0.22567582,0.4019945,0.60961115,0.48130754,0.4854831,0.4854831,0.2527713,0.49007323,0.67175436
29,0.2107357531785965,0.1188126727938652,0.0919230505824089,0.966033399105072,0.4538736939430237,0.1464034765958786,0.3074701130390167,0.9650248289108276,0.41563776,0.7758627,0.34253475,0.21376294,0.41016382,0.6065821,0.46973678,0.47444433,0.47444433,0.23752868,0.4854762,0.671875
30,0.19816172122955322,0.11440163850784302,0.08375987410545349,0.966153085231781,0.3144043982028961,0.14222000539302826,0.17218436300754547,0.9648696184158325,0.42958012,0.8026226,0.3568044,0.24571992,0.4104659,0.61397123,0.48905265,0.4934151,0.4934151,0.2716652,0.4900529,0.6545614
31,0.19751857221126556,0.11461746692657471,0.08290107548236847,0.9660805463790894,0.42363545298576355,0.14588916301727295,0.27774637937545776,0.9649213552474976,0.390999,0.7518749,0.2937584,0.16629077,0.37073886,0.58893573,0.44869006,0.4534298,0.4534298,0.18333037,0.45274875,0.6484375
32,0.20156759023666382,0.1133221685886383,0.08824536949396133,0.966196596622467,1.6164031028747559,0.18016374111175537,1.4362397193908691,0.9648696184158325,0.3279231,0.6994715,0.21623755,0.13891508,0.31831607,0.46765718,0.3865353,0.38926756,0.38926756,0.15443343,0.38859802,0.5307292
33,0.19637276232242584,0.11335786432027817,0.08301512897014618,0.9659970998764038,0.8977869153022766,0.14316141605377197,0.7546259164810181,0.9648696184158325,0.42776817,0.75421536,0.3717916,0.19136412,0.40872267,0.6065037,0.4773128,0.48130026,0.48130026,0.21220757,0.47767538,0.64270836
34,0.18979418277740479,0.10990481823682785,0.07988961786031723,0.9661784768104553,0.3692784607410431,0.1478082835674286,0.22147008776664734,0.9648696184158325,0.4331788,0.8242125,0.32690904,0.23916686,0.39408153,0.5594131,0.48840353,0.49347004,0.49347004,0.25929865,0.47575018,0.58439714
35,0.1965596228837967,0.11322861164808273,0.08333110064268112,0.9660189151763916,0.3543229401111603,0.12227644771337509,0.23204649984836578,0.9648696184158325,0.46787983,0.7802427,0.45671517,0.27341273,0.4487045,0.68641895,0.52037156,0.52680707,0.52680707,0.30234227,0.5243087,0.7145614
36,0.19390428066253662,0.11263613402843475,0.0812680795788765,0.9659499526023865,0.41628026962280273,0.1177496388554573,0.29853081703186035,0.9650248289108276,0.47281167,0.78022385,0.49361446,0.25907588,0.45706475,0.7245303,0.5243547,0.52960855,0.52960855,0.28836587,0.52418834,0.75
37,0.1971873641014099,0.11163750290870667,0.08554954826831818,0.9660914540290833,0.39150646328926086,0.12159007787704468,0.26991644501686096,0.9649213552474976,0.45120448,0.78333193,0.4394265,0.24476483,0.47625768,0.6085362,0.50403255,0.5093835,0.5093835,0.26984933,0.5573924,0.6421875
38,0.195876345038414,0.1130078136920929,0.08286859095096588,0.9661059379577637,0.4414907395839691,0.10399176925420761,0.3374989628791809,0.9648696184158325,0.50799674,0.7811248,0.5819535,0.27739897,0.55084515,0.682188,0.5528951,0.557603,0.557603,0.3062268,0.60899305,0.71666664
39,0.19131915271282196,0.11138314008712769,0.07993616163730621,0.9661059379577637,1.2042133808135986,0.17152053117752075,1.0326929092407227,0.9648696184158325,0.33303526,0.7049015,0.21622133,0.15363814,0.28658074,0.45480633,0.38795924,0.39272648,0.39272648,0.17415977,0.35320798,0.49245614
40,0.189908966422081,0.10912013053894043,0.08078886568546295,0.966153085231781,0.9074382781982422,0.13204829394817352,0.7753901481628418,0.9648696184158325,0.4297128,0.75584465,0.38191634,0.19844948,0.4334364,0.614184,0.4762564,0.47945282,0.47945282,0.21715873,0.49663398,0.66822916
41,0.1830437183380127,0.10696455836296082,0.07607930153608322,0.966087818145752,0.680256187915802,0.13177908957004547,0.548477292060852,0.9648696184158325,0.42718327,0.75694287,0.37546837,0.20408748,0.43724743,0.58510756,0.47245333,0.475975,0.475975,0.22356941,0.50304306,0.62291664
42,0.18432947993278503,0.10832656919956207,0.07600297778844833,0.965989887714386,0.9806814789772034,0.10731620341539383,0.8733654022216797,0.9648696184158325,0.48032555,0.73386407,0.54667413,0.25722036,0.533205,0.64879197,0.52585375,0.52983105,0.52983105,0.27808812,0.5934617,0.69947916
43,0.1801205724477768,0.10463836789131165,0.07548253983259201,0.9660986661911011,0.928268551826477,0.16625924408435822,0.7620092630386353,0.9649213552474976,0.34766012,0.68916845,0.2329729,0.14071885,0.32714054,0.5292735,0.40134874,0.40448955,0.40448955,0.15775163,0.40227753,0.5697917
44,0.18355004489421844,0.10664714872837067,0.07690272480249405,0.9659826159477234,0.8579353094100952,0.1390073001384735,0.718927800655365,0.9648696184158325,0.3955631,0.7049224,0.34430486,0.16787764,0.37688237,0.64516944,0.4472411,0.45130628,0.45130628,0.19628899,0.4469163,0.67864585
45,0.1869276463985443,0.10873579978942871,0.0781920924782753,0.9660043716430664,0.4389851987361908,0.12634296715259552,0.31264230608940125,0.9650248289108276,0.44433224,0.7964909,0.37961277,0.21200532,0.45330587,0.6545413,0.49424097,0.50050884,0.50050884,0.23957278,0.5295762,0.6915789
46,0.18024666607379913,0.10574302077293396,0.07450364530086517,0.9661059379577637,0.42087382078170776,0.12041943520307541,0.30045440793037415,0.9648696184158325,0.4574426,0.7540885,0.46575302,0.25898036,0.46449527,0.680986,0.5072305,0.5149919,0.5149919,0.29081336,0.53245944,0.7259649
47,0.18310388922691345,0.10707678645849228,0.07602714747190475,0.9660986661911011,0.5830292105674744,0.15127457678318024,0.43175455927848816,0.9648696184158325,0.39920574,0.76946425,0.2946522,0.17478925,0.40355593,0.5340691,0.45079166,0.45697474,0.45697474,0.19185476,0.48575243,0.5875
48,0.18029221892356873,0.10536637902259827,0.07492578774690628,0.9661675691604614,0.5130235552787781,0.15575596690177917,0.35726773738861084,0.9648696184158325,0.35759556,0.73240465,0.25571612,0.1452341,0.3382993,0.5519932,0.41250813,0.416274,0.416274,0.16336243,0.41206014,0.5935088
49,0.1742117553949356,0.1016678661108017,0.07254406064748764,0.9660224914550781,0.30217552185058594,0.12591004371643066,0.17626546323299408,0.9649213552474976,0.45530662,0.79801244,0.46876362,0.16926791,0.46532607,0.66362923,0.5059151,0.51079845,0.51079845,0.18449123,0.54795665,0.70591396
50,0.17804868519306183,0.10508304089307785,0.07296576350927353,0.9660080075263977,0.8374423384666443,0.152082160115242,0.6853598356246948,0.9649213552474976,0.41148898,0.77106607,0.32328838,0.20555444,0.39134142,0.6317327,0.46685937,0.47132617,0.47132617,0.22570354,0.47248042,0.66770834
51,0.17455939948558807,0.10392507910728455,0.0706341341137886,0.966033399105072,1.0877540111541748,0.154791459441185,0.9329626560211182,0.9648696184158325,0.3958889,0.7420634,0.29749227,0.22092049,0.39430314,0.49633813,0.46288422,0.46709624,0.46709624,0.25155506,0.4792107,0.54270834
52,0.17425917088985443,0.10204296559095383,0.07221603393554688,0.9660769104957581,0.5518381595611572,0.1460266411304474,0.4058116674423218,0.9648696184158325,0.39810485,0.7784775,0.28140962,0.1946323,0.38306364,0.57126755,0.45761645,0.4630305,0.4630305,0.22127666,0.47069138,0.61041665
53,0.17400072515010834,0.10106579959392548,0.07293493300676346,0.9661929607391357,0.478553831577301,0.14969824254512787,0.3288555145263672,0.9648696184158325,0.38476607,0.76864046,0.29185086,0.16008674,0.35314268,0.66944826,0.437011,0.4428906,0.4428906,0.1837484,0.43479922,0.71245617
54,0.17401304841041565,0.10211940109729767,0.07189365476369858,0.9660914540290833,0.9661763310432434,0.16128170490264893,0.8048943281173706,0.9649213552474976,0.37041587,0.7538626,0.24722852,0.1641434,0.34138948,0.58948064,0.43215033,0.43726122,0.43726122,0.18785836,0.43310437,0.6328125
55,0.1771630197763443,0.10510539263486862,0.07205759733915329,0.9660986661911011,0.4238429665565491,0.12916016578674316,0.2946827709674835,0.9649213552474976,0.41930813,0.7788729,0.3350536,0.20438965,0.4168762,0.64285994,0.4771341,0.4809654,0.4809654,0.23245226,0.50724065,0.69895834
56,0.1700102686882019,0.10143319517374039,0.06857697665691376,0.9661023020744324,0.560137927532196,0.13325846195220947,0.4268793761730194,0.9648696184158325,0.4225829,0.7582009,0.37021646,0.20752902,0.45451763,0.6379882,0.4758902,0.4805598,0.4805598,0.2298142,0.52704215,0.68263155
57,0.1695379614830017,0.10128170251846313,0.06825632601976395,0.9660914540290833,0.43990370631217957,0.1632578819990158,0.27664583921432495,0.9649213552474976,0.38410237,0.7950318,0.24251786,0.2213123,0.35201132,0.5813089,0.44483447,0.44825312,0.44825312,0.24431305,0.440068,0.6166667
58,0.17041194438934326,0.10119102895259857,0.06922076642513275,0.9659970998764038,0.5906075835227966,0.13989628851413727,0.45071157813072205,0.9648696184158325,0.41857544,0.7634695,0.34593332,0.22763403,0.4045354,0.7002808,0.47264338,0.47833315,0.47833315,0.24889469,0.47880995,0.738421
59,0.16990137100219727,0.10079384595155716,0.06910750269889832,0.9661276936531067,0.40086638927459717,0.1304609775543213,0.27040523290634155,0.9649213552474976,0.43865284,0.7770045,0.39119425,0.2506843,0.42900145,0.633149,0.4916497,0.49692747,0.49692747,0.28506526,0.50320154,0.65929824
60,0.17110641300678253,0.10165714472532272,0.0694490596652031,0.9660732746124268,0.3256874084472656,0.12687955796718597,0.19880783557891846,0.9648696184158325,0.46378672,0.8054417,0.4123382,0.25932348,0.4465996,0.6720085,0.51408184,0.5196367,0.5196367,0.29718658,0.5189462,0.71614033
61,0.17130333185195923,0.10211186110973358,0.06919156759977341,0.9660370349884033,0.2940286695957184,0.10195948928594589,0.1920691728591919,0.9648696184158325,0.5212905,0.80494124,0.5848176,0.29547784,0.57165223,0.74934644,0.56835634,0.57439214,0.57439214,0.3295596,0.6321925,0.7895833
62,0.16785988211631775,0.0995982214808464,0.06826182454824448,0.966196596622467,0.5165591835975647,0.16436925530433655,0.35218992829322815,0.9648696184158325,0.39629644,0.78043336,0.28158304,0.23522688,0.40326405,0.58425194,0.46161363,0.46724012,0.46724012,0.27044803,0.47922787,0.65789473
63,0.16995862126350403,0.10027125477790833,0.06968724727630615,0.9660914540290833,0.6504564881324768,0.1503368765115738,0.5001195073127747,0.9648696184158325,0.40448973,0.7714297,0.3160347,0.19422354,0.39019763,0.63464767,0.46462822,0.47141325,0.47141325,0.2310759,0.4695378,0.7182292
64,0.16567638516426086,0.09832974523305893,0.06734656542539597,0.9660478830337524,0.3751777112483978,0.11017105728387833,0.2650067210197449,0.9648696184158325,0.51501864,0.8088623,0.5931666,0.32660577,0.58377814,0.73265404,0.566761,0.57193226,0.57193226,0.3599937,0.6446816,0.7757895
65,0.16413070261478424,0.09806562215089798,0.0660652294754982,0.9659391045570374,0.8441469073295593,0.21110187470912933,0.633044958114624,0.9650248289108276,0.28432184,0.7009428,0.16859208,0.1251727,0.21363126,0.5285974,0.35250697,0.3568025,0.3568025,0.14586829,0.29579005,0.5985965
66,0.16316789388656616,0.09715862572193146,0.06600938737392426,0.9660660624504089,0.986201286315918,0.11215949803590775,0.8740424513816833,0.9649213552474976,0.47308433,0.75029045,0.5250141,0.22974975,0.50511676,0.6958239,0.517914,0.52208346,0.52208346,0.25432673,0.56405365,0.76197916
67,0.1684926450252533,0.09982029348611832,0.0686725303530693,0.966174840927124,0.9245296120643616,0.15551286935806274,0.7690168619155884,0.9648696184158325,0.3559573,0.7111536,0.25118348,0.15644328,0.34499222,0.58840877,0.41272044,0.41622227,0.41622227,0.17566144,0.42282292,0.63125
68,0.16563352942466736,0.0990729108452797,0.06656038761138916,0.9660152792930603,0.5741196870803833,0.09620282053947449,0.4779165983200073,0.9648696184158325,0.5044944,0.7626673,0.6146464,0.296874,0.5431283,0.7236491,0.5514419,0.55569935,0.55569935,0.32893887,0.5945614,0.7635088
69,0.16155005991458893,0.09731998294591904,0.06422998756170273,0.9659281969070435,0.44115978479385376,0.14726172387599945,0.29389795660972595,0.9649213552474976,0.41030765,0.7702928,0.3518572,0.20758863,0.36415008,0.57181686,0.46801698,0.47414058,0.47414058,0.23964617,0.44716743,0.6458333
70,0.1603933721780777,0.09643380343914032,0.06395938992500305,0.9660478830337524,0.6114539504051208,0.1801782250404358,0.4312753677368164,0.9648696184158325,0.3278309,0.7357508,0.21693523,0.17109397,0.25608066,0.5192558,0.388642,0.3935492,0.3935492,0.19894241,0.33884153,0.59479165
71,0.16431871056556702,0.09868355095386505,0.06563492864370346,0.9659826159477234,1.3410404920578003,0.12781237065792084,1.2132278680801392,0.9649213552474976,0.46238604,0.7910435,0.46819246,0.2356783,0.48786628,0.6197218,0.510578,0.51725274,0.51725274,0.26676694,0.5560396,0.67083335
72,0.15365172922611237,0.09263122081756592,0.061020512133836746,0.966087818145752,0.4742307960987091,0.14376968145370483,0.3304610252380371,0.9650248289108276,0.4284278,0.7929426,0.35920757,0.1968321,0.4248949,0.69358087,0.4821476,0.489065,0.489065,0.21796201,0.5114382,0.7468421
73,0.16082212328910828,0.09541173279285431,0.06541038304567337,0.9661240577697754,0.5282045602798462,0.12485302984714508,0.40335139632225037,0.9648696184158325,0.4678378,0.8047034,0.5010423,0.2213109,0.5167177,0.7126763,0.51599115,0.5257083,0.5257083,0.25247934,0.5870676,0.7598246
74,0.1594502329826355,0.09676425158977509,0.06268604844808578,0.9660769104957581,0.8140671253204346,0.1392851620912552,0.6747822761535645,0.9648696184158325,0.4239198,0.7691455,0.38426706,0.21697062,0.4272723,0.6352315,0.4827176,0.487244,0.487244,0.24415205,0.5001869,0.6780702
75,0.16087868809700012,0.09464643895626068,0.06623218953609467,0.9660224914550781,0.527338445186615,0.1184239387512207,0.4089145362377167,0.9649213552474976,0.49849617,0.79983604,0.507625,0.278373,0.5351935,0.6972357,0.5428665,0.54935163,0.54935163,0.29974312,0.59872514,0.7489474
76,0.1561548411846161,0.09493371099233627,0.06122113764286041,0.9659753441810608,0.5363410115242004,0.1590554267168045,0.37728574872016907,0.9648696184158325,0.39756602,0.8158397,0.2745477,0.22991428,0.36966458,0.5853771,0.45632973,0.46442392,0.46442392,0.2623096,0.4554905,0.65230495
77,0.15461096167564392,0.093095563352108,0.061515502631664276,0.966109573841095,0.309814989566803,0.10183753073215485,0.20797741413116455,0.9648696184158325,0.5326039,0.83569777,0.60003376,0.35425255,0.56985307,0.73208964,0.58046204,0.5866342,0.5866342,0.38596314,0.63592017,0.7952632
78,0.15932942926883698,0.09565917402505875,0.06367045640945435,0.9661276936531067,0.34158554673194885,0.10823792964220047,0.2333475649356842,0.9648696184158325,0.5223519,0.8406311,0.56622845,0.34240505,0.54007536,0.7041153,0.5733039,0.5801798,0.5801798,0.37515053,0.6075783,0.76932627
79,0.15766176581382751,0.09448331594467163,0.06317844986915588,0.9660443067550659,0.3985117971897125,0.13887353241443634,0.2596381604671478,0.9648696184158325,0.4320515,0.804277,0.3408257,0.22229731,0.4258897,0.6644008,0.48937726,0.49501625,0.49501625,0.25144446,0.5110348,0.71875
